Wj 17,3-7
Pwt 4,1
Pwt 4,5-9
1 Sm 16,1b
1 Sm 16,6-7
1 Sm 16,10-13a
2 Sm 7,4-5a
2 Sm 7,12-14a
2 Sm 7,16
2 Krl 5,1-15a
Ps 7,2-3
Ps 7,9b-12
Ps 23
Ps 25, 4-6
Ps 25, 7b-9
Ps 30,2
Ps 30,4-6
Ps 30,11-12a
Ps 30,13b
Ps 34,17-21
Ps 34,23
Ps 42,2-3
Ps 43,3-4
Ps 46,2-3
Ps 46,5-6
Ps 46,8-9
Ps 51,3-4
Ps 51,18-21b
Ps 81,6c-11b
Ps 81,14
Ps 81,17
Ps 89,2-5
Ps 89,27
Ps 89,29
Ps 95,1-2
Ps 95,6-9
Ps 130
Ps 145,8-9
Ps 145,13c-14
Ps 145,17-18
Ps 147,12-13
Ps 147,15-16
Ps 147,19-20
Mdr 2,1a
Mdr 2,12-22
Iz 49,8-15
Iz 65,17-21
Jr 7,23-28
Jr 11,18-20
Ez 37,12b-14
Ez 47,1-9
Ez 47,12
Dn 3,25
Dn 3,34-43
Oz 6,1-6
Oz 14,2-10
Mt 1,16
Mt 1,18-21
Mt 1,24a
Mt 5,17-19
Mt 18,21-35
Mk 12,28b-34
Łk 4,24-30
Łk 11,14-23
Łk 18,9-14
J 4,5-5,3
J 5,5-30
J 7,1-2
J 7,10
J 7,25-30
J 7,40-53
J 9
Rz 4,13
Rz 4,16-18
Rz 4,22
Rz 5,1-2
Rz 5,5-8
Rz 8,8-11
Ef 5,8-14
